gvkey,date,asset_value,asset_volatility
15181,2011-05-31,561551693470.7527,0.07826621607140222
15181,2011-06-30,561525338975.7606,0.07772185573876329
15181,2011-07-29,559689561845.5532,0.07803474716861264
15181,2011-08-31,552978465470.3204,0.07854977240085137
15181,2011-09-30,552395102704.7443,0.079577274379512
15181,2011-10-31,554758283713.2706,0.08026939149891947
15181,2011-11-30,553047466262.7097,0.0793063379851134
15181,2011-12-30,555775178948.3059,0.0793814706722785
15181,2012-01-31,580855682151.7815,0.04182196946467901
15181,2012-02-29,581168107550.5945,0.04164278228866284
15181,2012-03-30,577024607187.6926,0.04165494616527988
15181,2012-04-30,573682740027.7733,0.04202560488995563
15181,2012-05-31,570384977564.6185,0.042401861767223166
15181,2012-06-29,576586817296.5317,0.04242212835987653
15181,2012-07-31,576267671361.3374,0.042267674148642465
15181,2012-08-31,580791408600.0385,0.04208235971274509
15181,2012-09-28,581108808003.555,0.04118176918562743
15181,2012-10-31,583517255673.9976,0.04046711077214881
15181,2012-11-30,584054036829.1906,0.04006722380660996
15181,2012-12-31,587038878467.5321,0.020058837884504334
15181,2013-01-31,548343833086.5915,0.06950576957137905
15181,2013-02-28,548976153414.5126,0.06980556056628116
15181,2013-03-29,544595913228.77673,0.07004573891265227
15181,2013-04-30,549397857430.35846,0.07001362906527599
15181,2013-05-31,548563517424.5195,0.06947529379477456
15181,2013-06-28,543310826376.2081,0.06910853271385863
15181,2013-07-31,549465675052.304,0.06855341001227601
15181,2013-08-30,550202413661.2599,0.06813070799311162
15181,2013-09-30,556956910594.485,0.06791476748175572
15181,2013-10-31,559872696981.2197,0.06792041696033549
15181,2013-11-29,560923212758.767,0.06784898240308891
15181,2013-12-31,563272561953.5024,0.019439320239557724
15181,2014-01-31,600897725538.8126,0.0716208461157609
15181,2014-02-28,601815478671.8064,0.07132432045931256
15181,2014-03-31,601154408478.6936,0.07112686767185653
15181,2014-04-30,601884588141.5588,0.07103501709037054
15181,2014-05-30,605530289938.8434,0.07104934760363323
15181,2014-06-30,604932851959.8073,0.07089058411537308
15181,2014-07-31,604336045709.8538,0.0710004295972669
15181,2014-08-29,604288329093.5388,0.0709067323879324
15181,2014-09-30,606997806834.9485,0.07098968658603115
15181,2014-10-31,602696486711.9791,0.07117973826124144
15181,2014-11-28,603192261545.239,0.07161158654447732
15181,2014-12-31,600988954119.2723,0.02196714306468119
15181,2015-01-30,671370163979.632,0.15745139421401136
15181,2015-02-27,685730695462.4958,0.15748376763446714
15181,2015-03-31,691326496974.5415,0.1573217874933911
